1.7	4.5624893	1.5976304723608337e-09 
1.7005	4.562838998	1.4393186384964451e-06 
1.701	4.563188696	2.8494561661318585e-06 
1.7015	4.563538394	4.228867810596171e-06 
1.702	4.563888092	5.577606367879184e-06 
1.7025	4.56423779	6.895724569133677e-06 
1.7029999999999998	4.564587488	8.1832750806754e-06 
1.7035	4.564937186	9.440310504871263e-06 
1.704	4.565286884	1.0666883380139325e-05 
1.7045	4.565636582	1.1863046181836978e-05 
1.705	4.565986280000001	1.3028851319596413e-05 
1.7055	4.566335978000001	1.4164351141765508e-05 
1.706	4.5666856760000005	1.5269597931855117e-05 
1.7065	4.5670353740000005	1.634464390853907e-05 
1.7069999999999999	4.567385072	1.7389541229206884e-05 
1.7075	4.56773477	1.8404341985522876e-05 
1.708	4.568084468	1.9389098206978872e-05 
1.7085	4.568434166	2.0343861860894208e-05 
1.709	4.568783864	2.1268684849751196e-05 
1.7095	4.569133562	2.216361901385966e-05 
1.71	4.56948326	2.3028716128692395e-05 
1.7105	4.569832958	2.3864027910214247e-05 
1.7109999999999999	4.570182656	2.4669606009553036e-05 
1.7115	4.570532354	2.544550201566409e-05 
1.712	4.570882052	2.6191767451777537e-05 
1.7125	4.57123175	2.6908453783391906e-05 
1.713	4.571581448	2.7595612411168702e-05 
1.7135	4.571931146	2.825329467359694e-05 
1.714	4.572280844	2.888155184521679e-05 
1.7145	4.572630542	2.9480435141948647e-05 
1.7149999999999999	4.57298024	3.00499957139877e-05 
1.7155	4.5733299380000005	3.0590284650244826e-05 
1.716	4.5736796360000005	3.110135298101113e-05 
1.7165	4.5740293340000004	3.158325167085252e-05 
1.717	4.574379032	3.2036031623050576e-05 
1.7175	4.57472873	3.245974367960258e-05 
1.718	4.575078428	3.2854438621221504e-05 
1.7185	4.575428126	3.322016716822418e-05 
1.7189999999999999	4.575777824	3.355697997609042e-05 
1.7195	4.576127522	3.3864927641680254e-05 
1.72	4.57647722	3.4144060699681233e-05 
1.7205	4.576826918	3.439442962349659e-05 
1.721	4.577176616	3.461608482613343e-05 
1.7215	4.577526314	3.4809076656650006e-05 
1.722	4.577876012	3.4973455407261156e-05 
1.7225	4.57822571	3.510927130623287e-05 
1.7229999999999999	4.578575408	3.5216574522323185e-05 
1.7235	4.578925106	3.529541516300583e-05 
1.724	4.579274804	3.534584327624657e-05 
1.7245	4.579624502	3.536790884695051e-05 
1.725	4.5799742000000006	3.536166180140299e-05 
1.7255	4.5803238980000005	3.532715200638137e-05 
1.726	4.5806735960000005	3.526442926560236e-05 
1.7265	4.581023294	3.517354332416289e-05 
1.7269999999999999	4.581372992	3.5054543866763765e-05 
1.7275	4.58172269	3.490748051859782e-05 
1.728	4.582072388	3.4732402843573595e-05 
1.7285	4.582422086	3.4529360346091664e-05 
1.729	4.582771784	3.4298402470156475e-05 
1.7295	4.583121482	3.4039578602929055e-05 
1.73	4.58347118	3.3752938067621585e-05 
1.7305	4.583820878	3.343853012971465e-05 
1.7309999999999999	4.584170576	3.309640399606906e-05 
1.7315	4.584520274	3.272660881314948e-05 
1.732	4.584869972	3.232919366702447e-05 
1.7325	4.58521967	3.190420758780732e-05 
1.733	4.585569368	3.145169954166249e-05 
1.7335	4.585919066	3.09717184387992e-05 
1.734	4.586268764	3.046431312903053e-05 
1.7345	4.586618462	2.9929532405326142e-05 
1.7349999999999999	4.58696816	2.9367424998483216e-05 
1.7355	4.5873178580000005	2.8778039582455506e-05 
1.736	4.587667556	2.8161424772576993e-05 
1.7365	4.588017254	2.7517629124673704e-05 
1.737	4.588366952	2.6846701136840068e-05 
1.7375	4.58871665	2.614868924766256e-05 
1.738	4.589066348	2.54236418362197e-05 
1.7385	4.589416046	2.467160722652295e-05 
1.7389999999999999	4.589765744	2.3892633681299458e-05 
1.7395	4.590115442	2.3086769407321128e-05 
1.74	4.59046514	2.2254062550963738e-05 
1.7405	4.590814838	2.1394561201759643e-05 
1.741	4.591164536	2.050831339239778e-05 
1.7415	4.591514234	1.9595367095170957e-05 
1.742	4.591863932	1.8655770225528556e-05 
1.7425	4.59221363	1.7689570642076546e-05 
1.7429999999999999	4.592563328	1.669681614480112e-05 
1.7435	4.592913026	1.5677554475956867e-05 
1.744	4.593262724	1.4631833321843146e-05 
1.7445	4.593612422	1.3559700309251355e-05 
1.745	4.5939621200000005	1.2461203008129473e-05 
1.7455	4.594311818	1.1336388931582064e-05 
1.746	4.594661516	1.018530553587027e-05 
1.7465	4.595011214	9.008000219523637e-06 
1.7469999999999999	4.595360912	7.804520324228292e-06 
1.7475	4.59571061	6.574913133050586e-06 
1.748	4.596060308	5.319225875766165e-06 
1.7485	4.596410006	4.037505720866363e-06 
1.749	4.596759704	2.72979978443999e-06 
1.7495	4.597109402	1.3961551221797208e-06 
1.75	4.5974591	3.6618735599347474e-08 
1.7505	4.597806209	1.2402375686448863e-06 
1.751	4.598153318	2.4180585089794704e-06 
1.7515	4.598500427	3.5701283858102784e-06 
1.752	4.598847536	4.696493978606497e-06 
1.7525	4.599194645	5.797202001112112e-06 
1.7530000000000001	4.5995417540000005	6.872299119109471e-06 
1.7535	4.599888863	7.921831937096613e-06 
1.754	4.600235972	8.94584700716905e-06 
1.7545	4.600583081	9.944390822802518e-06 
1.755	4.60093019	1.0917509822405691e-05 
1.7555	4.601277299	1.1865250386655646e-05 
1.756	4.601624408	1.2787658846491468e-05 
1.7565	4.601971517	1.368478147156793e-05 
1.7570000000000001	4.602318626	1.4556664477360926e-05 
1.7575	4.602665735	1.5403354021614746e-05 
